week_ending,us,padd1,padd2,padd3,padd4,padd5
2025-08-29,22564,6798,9092,3953,344,2377
2025-09-05,22837,6702,9707,3609,358,2461
2025-09-12,22602,6854,9341,3504,372,2531
2025-09-19,23468,7060,9433,3937,381,2656
2025-09-26,22764,6780,9152,4041,378,2413
2025-10-03,22720,6601,9135,3903,360,2721
2025-10-10,22628,6860,9041,3848,369,2510
2025-10-17,21919,6383,8814,3938,368,2416
2025-10-24,22367,6387,8797,4147,363,2672
2025-10-31,22655,6496,9151,4166,360,2482
2025-11-07,22219,6642,8975,3882,360,2361
2025-11-14,22307,6831,8841,3799,367,2469
2025-11-21,21968,6469,8328,4178,376,2616
2025-11-28,22511,6554,9015,4062,386,2495
2025-12-05,22510,6389,9249,4016,382,2474
2025-12-12,22353,6458,9097,3964,377,2456
2025-12-19,22528,6322,9379,3852,382,2593
2025-12-26,22944,6159,10321,3737,367,2359
2026-01-02,23652,6205,10830,3891,382,2344
2026-01-09,24473,6821,10480,4314,386,2473
2026-01-16,25739,7313,10620,4964,386,2455
2026-01-23,25400,7176,10859,4584,380,2401
2026-01-30,25136,6920,10844,4245,384,2743
2026-02-06,25247,7499,10790,3972,388,2598
2026-02-13,25588,7544,10594,4373,400,2676
2026-02-20,25646,7320,10441,4806,389,2690
2026-02-27,26337,7576,10825,4889,378,2669
2026-03-06,25580,8052,10138,4342,344,2704
2026-03-13,26407,8005,10992,4272,357,2780
2026-03-20,27170,8008,11286,4949,359,2569
2026-03-27,25991,7973,10655,4524,376,2463
2026-04-03,26053,7734,10743,4568,377,2630
2026-04-10,26699,8177,10529,5046,373,2574
2026-04-17,26948,8186,10386,5513,371,2492
2026-04-24,25881,7902,10020,5250,358,2351
2026-05-01,26020,7695,10249,5264,361,2451
2026-05-08,24870,7612,10078,4641,360,2180
2026-05-15,24875,7367,10153,4940,366,2051
2026-05-22,24968,7501,10118,4871,358,2120
2026-05-29,24606,7102,9962,4954,363,2224
2026-06-05,24452,6735,9994,5169,380,2175
2026-06-12,24474,6829,10057,4940,369,2280
2026-06-19,24585,6702,10258,5153,350,2121
2026-06-26,24690,6649,10424,4956,336,2325
2026-07-03,23928,6458,10027,5010,328,2106
2026-07-10,24391,6486,9972,5323,321,2289
2026-07-17,24481,6863,10070,5086,326,2136
2026-07-24,24726,6847,10080,5129,317,2353
2026-07-31,24524,6976,9409,5238,339,2562
2026-08-07,24798,7270,9727,5081,332,2387
2026-08-14,25121,7394,9746,5276,338,2368
2026-08-21,25206,7252,10045,5116,328,2464
2026-08-28,25035,7592,9440,5249,333,2421
